"","Depth","Island","Site","Time","Quantum","IndexLoss","Median","Mean","Max","Min"
"1",6,"Makatea","TUAMAK1","10:00:00",181.8394558,100,204.84152545,208.3419719,273.3775166,151.359504
"2",6,"Makatea","TUAMAK1","11:00:00",186.6340557,100,204.84152545,208.3419719,273.3775166,151.359504
"3",6,"Makatea","TUAMAK1","12:00:00",233.7923041,100,204.84152545,208.3419719,273.3775166,151.359504
"4",6,"Makatea","TUAMAK1","13:00:00",273.3775166,100,204.84152545,208.3419719,273.3775166,151.359504
"5",6,"Makatea","TUAMAK1","14:00:00",223.0489952,100,204.84152545,208.3419719,273.3775166,151.359504
"6",6,"Makatea","TUAMAK1","15:00:00",151.359504,100,204.84152545,208.3419719,273.3775166,151.359504
"7",20,"Makatea","TUAMAK1","10:00:00",99.75,54.85608147,132.0583335,132.875,181.8,98.383333
"8",20,"Makatea","TUAMAK1","11:00:00",117.9,63.17175049,132.0583335,132.875,181.8,98.383333
"9",20,"Makatea","TUAMAK1","12:00:00",153.2,65.52824765,132.0583335,132.875,181.8,98.383333
"10",20,"Makatea","TUAMAK1","13:00:00",181.8,66.50144543,132.0583335,132.875,181.8,98.383333
"11",20,"Makatea","TUAMAK1","14:00:00",146.216667,65.55360936,132.0583335,132.875,181.8,98.383333
"12",20,"Makatea","TUAMAK1","15:00:00",98.383333,64.99977232,132.0583335,132.875,181.8,98.383333
"13",40,"Makatea","TUAMAK1","10:00:00",30.016667,16.50723539,54.9416665,54.6083333333333,80.4,30.016667
"14",40,"Makatea","TUAMAK1","11:00:00",47.05,25.20976133,54.9416665,54.6083333333333,80.4,30.016667
"15",40,"Makatea","TUAMAK1","12:00:00",65.783333,28.13751003,54.9416665,54.6083333333333,80.4,30.016667
"16",40,"Makatea","TUAMAK1","13:00:00",80.4,29.40988016,54.9416665,54.6083333333333,80.4,30.016667
"17",40,"Makatea","TUAMAK1","14:00:00",62.833333,28.17019325,54.9416665,54.6083333333333,80.4,30.016667
"18",40,"Makatea","TUAMAK1","15:00:00",41.566667,27.46221142,54.9416665,54.6083333333333,80.4,30.016667
"19",60,"Makatea","TUAMAK1","10:00:00",16.4659673,9.055222495,35.45591313,35.1616433266667,53.46716213,16.4659673
"20",60,"Makatea","TUAMAK1","11:00:00",29.7223086,15.92544752,35.45591313,35.1616433266667,53.46716213,16.4659673
"21",60,"Makatea","TUAMAK1","12:00:00",43.10666536,18.43801725,35.45591313,35.1616433266667,53.46716213,16.4659673
"22",60,"Makatea","TUAMAK1","13:00:00",53.46716213,19.5579954,35.45591313,35.1616433266667,53.46716213,16.4659673
"23",60,"Makatea","TUAMAK1","14:00:00",41.18951766,18.46657844,35.45591313,35.1616433266667,53.46716213,16.4659673
"24",60,"Makatea","TUAMAK1","15:00:00",27.01823891,17.8503749,35.45591313,35.1616433266667,53.46716213,16.4659673
"25",90,"Makatea","TUAMAK1","10:00:00",7.416667,4.078689616,9.6916665,10.1027778333333,13.316667,7.416667
"26",90,"Makatea","TUAMAK1","11:00:00",8.733333,4.679388746,9.6916665,10.1027778333333,13.316667,7.416667
"27",90,"Makatea","TUAMAK1","12:00:00",10.65,4.55532531,9.6916665,10.1027778333333,13.316667,7.416667
"28",90,"Makatea","TUAMAK1","13:00:00",13.316667,4.871163937,9.6916665,10.1027778333333,13.316667,7.416667
"29",90,"Makatea","TUAMAK1","14:00:00",12.2,5.469650284,9.6916665,10.1027778333333,13.316667,7.416667
"30",90,"Makatea","TUAMAK1","15:00:00",8.3,5.483633191,9.6916665,10.1027778333333,13.316667,7.416667
"31",120,"Makatea","TUAMAK1","10:00:00",3.05,1.677303744,3.533333,3.5555555,4.366667,2.966667
"32",120,"Makatea","TUAMAK1","11:00:00",3.333333,1.786026129,3.533333,3.5555555,4.366667,2.966667
"33",120,"Makatea","TUAMAK1","12:00:00",3.733333,1.596858808,3.533333,3.5555555,4.366667,2.966667
"34",120,"Makatea","TUAMAK1","13:00:00",4.366667,1.5973029,3.533333,3.5555555,4.366667,2.966667
"35",120,"Makatea","TUAMAK1","14:00:00",3.883333,1.741022414,3.533333,3.5555555,4.366667,2.966667
"36",120,"Makatea","TUAMAK1","15:00:00",2.966667,1.96001369,3.533333,3.5555555,4.366667,2.966667
